vehicle_id,manufacturer,range,model,derivative,transmission,trim,sector,bodystyle,fueltype,fueldelivery,engine_litres,drivetrain
89837,MERCEDES-BENZ,C CLASS,C CLASS ESTATE,C180 AMG Line Edition 5dr,MANUAL,AMG LINE EDITION,PRESTIGE ESTATE MEDIUM,ESTATE,PETROL,TURBO,1.6,REAR WHEEL DRIVE
88506,VOLVO,XC40,XC40 ESTATE,1.5 T3 [163] Momentum Pro 5dr,MANUAL,MOMENTUM PRO,4X4 MEDIUM,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
87351,BMW,I3,I3 HATCHBACK,125kW 42kWh 5dr Auto [Loft Interior World],AUTOMATIC,"",LOWER MEDIUM,HATCHBACK,ELECTRIC,NORMALLY ASPIRATED,0.0,REAR WHEEL DRIVE
85697,HONDA,CIVIC,CIVIC HATCHBACK,1.0 VTEC Turbo 126 EX 5dr,MANUAL,EX,MEDIUM,HATCHBACK,PETROL,TURBO,1.0,FRONT WHEEL DRIVE
85412,AUDI,A3,A3 DIESEL SPORTBACK,35 TDI Sport 5dr,MANUAL,SPORT,PRESTIGE LOWER,HATCHBACK,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
84427,MERCEDES-BENZ,C CLASS,C CLASS DIESEL COUPE,C220d AMG Line Premium Plus 2dr 9G-Tronic,AUTOMATIC,AMG LINE,PRESTIGE COUPE MEDIUM,COUPE,DIESEL,TURBO,2.0,REAR WHEEL DRIVE
83299,BMW,2 SERIES,2 SERIES GRAN TOURER,218i Luxury 5dr Step Auto,AUTOMATIC,LUXURY,MPV MEDIUM,ESTATE,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
87086,MINI,COUNTRYMAN,COUNTRYMAN HATCHBACK,1.5 Cooper Classic 5dr [Comfort Pack],MANUAL,COOPER CLASSIC,MEDIUM,HATCHBACK,PETROL,TURBO,1.5,FRONT WHEEL DRIVE
84609,DACIA,SANDERO,SANDERO HATCHBACK,1.0 SCe Comfort 5dr,MANUAL,COMFORT,MEDIUM,HATCHBACK,PETROL,INJECTION,1.0,FRONT WHEEL DRIVE
89419,VOLKSWAGEN,PASSAT,PASSAT ESTATE,1.4 TSI GTE 5dr DSG,AUTOMATIC,GTE,ESTATE LARGE,ESTATE,PETROL/PLUGIN ELEC HYBRID,TURBO,1.4,FRONT WHEEL DRIVE
81808,VOLKSWAGEN,T-ROC,T-ROC HATCHBACK,2.0 TSI SEL 4MOTION 5dr DSG,AUTOMATIC,SEL,MEDIUM,HATCHBACK,PETROL,TURBO,2.0,FOUR WHEEL DRIVE
81706,MASERATI,GRANCABRIO,GRANCABRIO CONVERTIBLE,V8 MC 2dr MC Shift,AUTOMATIC,MC,CONVERTIBLE LARGE,CONVERTIBLE,PETROL,INJECTION,4.7,REAR WHEEL DRIVE
48174,CATERHAM,SUPER SEVENS,SUPER SEVEN ROADSTER,1.6 150 Roadsport SV 2dr [6],MANUAL,ROADSPORT SV,CONVERTIBLE SMALL,ROADSTER,PETROL,INJECTION,1.6,REAR WHEEL DRIVE
90598,VAUXHALL,ASTRA,ASTRA SPORTS TOURER,1.2 Turbo 145 SRi Nav 5dr,MANUAL,SRI NAV,ESTATE MEDIUM,ESTATE,PETROL,TURBO,1.2,FRONT WHEEL DRIVE
85336,PEUGEOT,RIFTER,RIFTER ESTATE,1.2 PureTech 130 Active 5dr EAT8,AUTOMATIC,ACTIVE,ESTATE MEDIUM,ESTATE,PETROL,TURBO,1.2,FRONT WHEEL DRIVE
89095,PORSCHE,CAYENNE,CAYENNE COUPE,Turbo 5dr Tiptronic S [5 Seat],AUTOMATIC,TURBO,PRESTIGE COUPE LARGE,ESTATE,PETROL,TURBO,4.0,FOUR WHEEL DRIVE
81144,JAGUAR,E-PACE,E-PACE DIESEL ESTATE,2.0d S 5dr Auto,AUTOMATIC,S,4X4 LARGE,ESTATE,DIESEL,TURBO,2.0,FOUR WHEEL DRIVE
86221,MAZDA,MX-5,MX-5 RF CONVERTIBLE,2.0 [184] Sport Nav+ 2dr [Safety Pack],MANUAL,SPORT NAV+,CONVERTIBLE SMALL,CONVERTIBLE,PETROL,INJECTION,2.0,REAR WHEEL DRIVE
72439,VOLKSWAGEN,TOURAN,TOURAN DIESEL ESTATE,2.0 TDI SE Family 5dr,MANUAL,SE FAMILY,MPV MEDIUM,ESTATE,DIESEL,TURBO,2.0,FRONT WHEEL DRIVE
